SK_ID_CURR,Contrat,Genre,Voiture,AMT_CREDIT,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,OCCUPATION_TYPE,REGION_RATING_CLIENT_W_CITY,REG_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,DEF_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,Age,Duree,Anciennete,count,max,ANCxCRED,ANC_par_CRED,Anc_Age
264838,0.0,0.0,0.0,414792.0,3.0,4.0,1.0,0.010966,-13269.0,-4578.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,57.0,1.0,-1157.0,61.983561643835614,22.54243091220347,0.0,1.0,-86.0,0.0,0.0,0.0
229957,0.0,1.0,1.0,296280.0,7.0,4.0,1.0,0.010643,-2964.0,-4849.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,33.50410958904109,12.58650353660868,7.994520547945205,1.0,-821.0,2368616.5479452056,2.6982990913815327e-05,0.23861313271731133
100295,0.0,1.0,1.0,1019205.0,1.0,4.0,1.0,0.072508,-335.0,-3224.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,-14.0,31.112328767123287,32.84367749419953,1.6493150684931508,1.0,-607.0,1680990.1643835618,1.618236830169741e-06,0.05301162381120113
183308,0.0,1.0,0.0,612612.0,3.0,4.0,1.0,0.072508,-56.0,-2245.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,-1651.0,51.23287671232877,23.483870967741936,0.0,1.0,-1067.0,0.0,0.0,0.0
199019,0.0,0.0,1.0,630747.0,7.0,4.0,1.0,0.022625,-2065.0,-81.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,57.52328767123288,27.684376851668972,27.019178082191782,0.0,0.0,17042265.51780822,4.28367920611462e-05,0.46970851590779195
363556,0.0,1.0,1.0,598500.0,7.0,4.0,4.0,0.028663,-1715.0,-1709.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,-195.0,24.805479452054794,36.36860814875581,2.9506849315068493,1.0,-896.0,1765984.9315068494,4.930133553060734e-06,0.1189529489728297
131920,0.0,0.0,1.0,691020.0,7.0,4.0,1.0,0.01885,-1344.0,-967.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,0.0,-264.0,47.74794520547945,36.1232651140908,8.172602739726027,2.0,-228.0,5647431.94520548,1.1826868599644044e-05,0.17116134955244433
380450,0.0,1.0,1.0,232438.5,7.0,4.0,1.0,0.016612,-4197.0,-4838.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,-1379.0,42.298630136986304,10.837809483843895,1.8082191780821917,8.0,-177.0,420299.7534246575,7.779344549556944e-06,0.04274888269965671
183757,0.0,1.0,1.0,256500.0,7.0,1.0,5.0,0.006296,-4877.0,-1898.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,-491.0,27.4027397260274,15.527104331244892,1.8164383561643835,2.0,-302.0,465916.4383561644,7.081631018184731e-06,0.06628674265146971
245211,1.0,0.0,0.0,675000.0,1.0,4.0,2.0,0.04622,-3947.0,-1667.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,-1346.0,26.50958904109589,20.0,3.2575342465753425,2.0,-191.0,2198835.616438356,4.8259766615931e-06,0.1228813559322034
222541,0.0,1.0,1.0,1235587.5,1.0,1.0,1.0,0.04622,-1522.0,-2390.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,-1206.0,42.673972602739724,30.16313303306602,4.706849315068493,1.0,-62.0,5815724.178082191,3.8094018554481113e-06,0.11029789419619929
416713,0.0,0.0,1.0,1298655.0,4.0,1.0,1.0,0.008068,-3634.0,-854.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,39.0,0.0,-941.0,47.48219178082192,34.0840911775127,2.9315068493150687,4.0,-113.0,3807016.0273972605,2.257340748170275e-06,0.06173908026080434
